,id,hours_type,mon_start,mon_end,mon_overnight,tues_start,tues_end,tues_overnight,wed_start,wed_end,wed_overnight,thurs_start,thurs_end,thurs_overnight,fri_start,fri_end,fri_overnight,sat_start,sat_end,sat_overnight,sun_start,sun_end,sun_overnight
0,2u_w3rthRzR2uEihW5BC4A,REGULAR,1200.0,2200.0,False,1200.0,2200.0,False,1200.0,2200.0,False,1200.0,2200.0,False,1200.0,2230.0,False,1200.0,2230.0,False,1200.0,2200.0,False
1,AGR_kBvN__I7aTl0rBywAg,REGULAR,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2300.0,False,1100.0,2300.0,False,1100.0,2200.0,False
2,NYa-JphaaB41ElGsb3iawA,REGULAR,1700.0,2100.0,False,1700.0,2100.0,False,1700.0,2100.0,False,1700.0,2100.0,False,1700.0,2200.0,False,1700.0,2200.0,False,1700.0,2100.0,False
4,sA2gVTJOBH7Qk32p48ENdQ,REGULAR,1100.0,2200.0,False,1100.0,2200.0,False,1100.0,2200.0,False,1100.0,2200.0,False,1100.0,2300.0,False,1100.0,2300.0,False,1100.0,2100.0,False
5,yBIN7uSzd5saehWA1I_GBw,REGULAR,1700.0,2100.0,False,1700.0,2200.0,False,1700.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2100.0,False
6,mP1EdIafQKMuOm9O4PzAfA,REGULAR,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,2300.0,False,1400.0,0.0,False,1030.0,0.0,False,1030.0,2300.0,False
7,u51e3gychuqBYNqe2xG6_w,REGULAR,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True
8,xZ22_0eJOgaiKqIhoSHrPw,REGULAR,1130.0,0.0,False,1130.0,0.0,False,1130.0,100.0,True,1130.0,200.0,True,1130.0,200.0,True,930.0,200.0,True,930.0,0.0,False
9,1qwxzGRcU1y3tJrsoYQ4Rw,REGULAR,1100.0,2100.0,False,1100.0,2100.0,False,1100.0,2100.0,False,1100.0,2100.0,False,1100.0,2100.0,False,1600.0,2100.0,False,1600.0,2100.0,False
10,XUepp8T9xSMBuvlEG_-DrQ,REGULAR,1130.0,2100.0,False,1130.0,2100.0,False,1130.0,2100.0,False,1130.0,2100.0,False,1130.0,2200.0,False,1700.0,2200.0,False,1600.0,2100.0,False
11,72PQGMhrEcIuWH-S44TprA,REGULAR,1600.0,2100.0,False,1600.0,2100.0,False,1600.0,2100.0,False,1600.0,2200.0,False,1600.0,2200.0,False,1600.0,2200.0,False,1600.0,2100.0,False
12,nIS4O-TwLYkA_P1Cu0SfhA,REGULAR,1700.0,100.0,True,1700.0,100.0,True,1700.0,100.0,True,1700.0,100.0,True,1600.0,200.0,True,1600.0,200.0,True,1700.0,100.0,True
13,VFvCFOYtyK9ae4Skxvf3vA,REGULAR,1130.0,1900.0,False,1130.0,1900.0,False,1130.0,2100.0,False,1130.0,2100.0,False,1130.0,2100.0,False,1130.0,2100.0,False,1130.0,1700.0,False
14,_QUh5vFHSuw8R_uiFZ7XKQ,REGULAR,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2300.0,False,1130.0,2300.0,False,1130.0,2200.0,False
15,ooaCl61BsK7kJlZnYOq0UQ,REGULAR,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2300.0,False,1100.0,2300.0,False,1100.0,2200.0,False
16,367aDatN4B0UNT4hNPMqPQ,REGULAR,1700.0,2300.0,False,1700.0,2300.0,False,1700.0,2300.0,False,1700.0,0.0,False,1700.0,130.0,True,1000.0,130.0,True,1000.0,2300.0,False
17,rcn3L8ZeQebdG0K1RSRKXQ,REGULAR,,,,,,,,,,1700.0,100.0,True,1700.0,100.0,True,1700.0,100.0,True,,,
18,aGYdF_fNHDhFCAnXoTCkGA,REGULAR,1130.0,200.0,True,1130.0,200.0,True,1130.0,200.0,True,1130.0,200.0,True,1130.0,200.0,True,1130.0,200.0,True,1100.0,200.0,True
19,Z6Io2AbJrof7TPVliMZkAg,REGULAR,1100.0,2100.0,False,,,,1100.0,2100.0,False,1100.0,2100.0,False,1100.0,2130.0,False,1100.0,2130.0,False,1100.0,2100.0,False
20,q5HPp961WsjoVDaOmN8SwQ,REGULAR,1700.0,2200.0,False,1700.0,2200.0,False,1700.0,2200.0,False,1700.0,2200.0,False,1700.0,2300.0,False,1700.0,2300.0,False,1700.0,2130.0,False
21,mxjVk5rvPNhzYe_vt3OSQA,REGULAR,,,,,,,1600.0,2100.0,False,1600.0,2100.0,False,1200.0,2200.0,False,1200.0,2200.0,False,1200.0,2100.0,False
22,_98MfEQ67r9-V78gmy8_Pg,REGULAR,1730.0,2230.0,False,1730.0,2230.0,False,1730.0,2230.0,False,1730.0,2230.0,False,1730.0,2300.0,False,1700.0,2300.0,False,1730.0,2200.0,False
23,lCMN0raxlHnBFDoLgkz4sw,REGULAR,700.0,2100.0,False,700.0,2100.0,False,700.0,2100.0,False,700.0,2100.0,False,700.0,2100.0,False,800.0,2100.0,False,800.0,2100.0,False
24,1hWZ0K2DOKZB9Xft08VZ9g,REGULAR,1730.0,2200.0,False,1730.0,2200.0,False,1730.0,2200.0,False,1730.0,2200.0,False,1730.0,2300.0,False,1730.0,2300.0,False,1730.0,2200.0,False
25,poswq7BdLM9Iryd9palDVQ,REGULAR,1700.0,2100.0,False,1700.0,2100.0,False,1700.0,2100.0,False,1700.0,2230.0,False,1700.0,2230.0,False,1700.0,2230.0,False,1700.0,2100.0,False
26,T4nEmSQNeTKnNgcHpnvH0A,REGULAR,1700.0,2100.0,False,1700.0,2100.0,False,1700.0,2100.0,False,1700.0,2100.0,False,1700.0,2130.0,False,1600.0,2130.0,False,1600.0,2130.0,False
27,Q8g68ZDAt93h_n_wTbwshA,REGULAR,1600.0,2200.0,False,1600.0,2200.0,False,1600.0,2200.0,False,1600.0,2200.0,False,1600.0,0.0,False,1600.0,0.0,False,1600.0,2200.0,False
28,fEKzWC1sbfZSElp46FoNag,REGULAR,1730.0,2100.0,False,1730.0,2100.0,False,1730.0,2100.0,False,1730.0,2100.0,False,1730.0,2200.0,False,1730.0,2200.0,False,1730.0,2100.0,False
29,uYqizPy4eUSpwOha0RkVPg,REGULAR,,,,,,,1700.0,2100.0,False,1700.0,2100.0,False,1700.0,2200.0,False,1700.0,2200.0,False,1700.0,2100.0,False
30,nyy38msunExaObJOeH7j0Q,REGULAR,1600.0,2200.0,False,1600.0,2200.0,False,1600.0,2200.0,False,1600.0,0.0,False,1600.0,200.0,True,1100.0,200.0,True,1100.0,2200.0,False
31,5NsdznaNSUmH2O0vuo65Pw,REGULAR,,,,1200.0,2100.0,False,1200.0,2100.0,False,1200.0,2100.0,False,1200.0,2100.0,False,1200.0,2100.0,False,1200.0,2100.0,False
32,55PGG2U1z-q7Z694F-B-_w,REGULAR,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,200.0,True,1200.0,200.0,True,1200.0,2300.0,False
33,7B9dJn1uWTv9QPnFcDwaXw,REGULAR,,,,1600.0,2100.0,False,1600.0,2100.0,False,1600.0,2100.0,False,1600.0,2200.0,False,1130.0,2200.0,False,1130.0,2100.0,False
34,et8Pwzjy2vjRhETAgEZ1Lg,REGULAR,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2300.0,False,1130.0,2300.0,False,1130.0,2200.0,False
