id,hours_type,mon_start,mon_end,mon_overnight,tues_start,tues_end,tues_overnight,wed_start,wed_end,wed_overnight,thurs_start,thurs_start,thurs_overnight,fri_start,fri_end,fri_overnight,sat_start,sat_end,sat_overnight,sun_start,sun_end,sun_overnight
2u_w3rthRzR2uEihW5BC4A,REGULAR,1200,2200,False,1200,2200,False,1200,2200,False,1200,2200,False,1200,2230,False,1200,2230,False,1200,2200,False
AGR_kBvN__I7aTl0rBywAg,REGULAR,1130,2200,False,1130,2200,False,1130,2200,False,1130,2200,False,1130,2300,False,1100,2300,False,1100,2200,False
NYa-JphaaB41ElGsb3iawA,REGULAR,1700,2100,False,1700,2100,False,1700,2100,False,1700,2100,False,1700,2200,False,1700,2200,False,1700,2100,False
xlOMKjE4omTgkI1eduWj8A,REGULAR,0800,1500,False,0800,1500,False,0800,1500,False,0800,1500,False,0800,2000,False,0800,2000,False,0800,1700,False
sA2gVTJOBH7Qk32p48ENdQ,REGULAR,1100,2200,False,1100,2200,False,1100,2200,False,1100,2200,False,1100,2300,False,1100,2300,False,1100,2100,False
yBIN7uSzd5saehWA1I_GBw,REGULAR,1700,2100,False,1700,2200,False,1700,2200,False,1130,2200,False,1130,2200,False,1130,2200,False,1130,2100,False
mP1EdIafQKMuOm9O4PzAfA,REGULAR,1600,2300,False,1600,2300,False,1600,2300,False,1600,2300,False,1400,0000,False,1030,0000,False,1030,2300,False
u51e3gychuqBYNqe2xG6_w,REGULAR,1600,0200,True,1600,0200,True,1600,0200,True,1600,0200,True,1600,0200,True,1600,0200,True,1600,0200,True
xZ22_0eJOgaiKqIhoSHrPw,REGULAR,1130,0000,False,1130,0000,False,1130,0100,True,1130,0200,True,1130,0200,True,0930,0200,True,0930,0000,False
1qwxzGRcU1y3tJrsoYQ4Rw,REGULAR,1100,2100,False,1100,2100,False,1100,2100,False,1100,2100,False,1100,2100,False,1600,2100,False,1600,2100,False
XUepp8T9xSMBuvlEG_-DrQ,REGULAR,1130,2100,False,1130,2100,False,1130,2100,False,1130,2100,False,1130,2200,False,1700,2200,False,1600,2100,False
72PQGMhrEcIuWH-S44TprA,REGULAR,1600,2100,False,1600,2100,False,1600,2100,False,1600,2200,False,1600,2200,False,1600,2200,False,1600,2100,False
nIS4O-TwLYkA_P1Cu0SfhA,REGULAR,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True,1600,0200,True,1600,0200,True,1700,0100,True
VFvCFOYtyK9ae4Skxvf3vA,REGULAR,1130,1900,False,1130,1900,False,1130,2100,False,1130,2100,False,1130,2100,False,1130,2100,False,1130,1700,False
_QUh5vFHSuw8R_uiFZ7XKQ,REGULAR,1130,2200,False,1130,2200,False,1130,2200,False,1130,2200,False,1130,2300,False,1130,2300,False,1130,2200,False
ooaCl61BsK7kJlZnYOq0UQ,REGULAR,1130,2200,False,1130,2200,False,1130,2200,False,1130,2200,False,1130,2300,False,1100,2300,False,1100,2200,False
367aDatN4B0UNT4hNPMqPQ,REGULAR,1700,2300,False,1700,2300,False,1700,2300,False,1700,0000,False,1700,0130,True,1000,0130,True,1000,2300,False
rcn3L8ZeQebdG0K1RSRKXQ,REGULAR,,,,,,,,,,1700,0100,True,1700,0100,True,1700,0100,True,,,
aGYdF_fNHDhFCAnXoTCkGA,REGULAR,1130,0200,True,1130,0200,True,1130,0200,True,1130,0200,True,1130,0200,True,1130,0200,True,1100,0200,True
Z6Io2AbJrof7TPVliMZkAg,REGULAR,1100,2100,False,,,,1100,2100,False,1100,2100,False,1100,2130,False,1100,2130,False,1100,2100,False
q5HPp961WsjoVDaOmN8SwQ,REGULAR,1700,2200,False,1700,2200,False,1700,2200,False,1700,2200,False,1700,2300,False,1700,2300,False,1700,2130,False
mxjVk5rvPNhzYe_vt3OSQA,REGULAR,,,,,,,1600,2100,False,1600,2100,False,1200,2200,False,1200,2200,False,1200,2100,False
_98MfEQ67r9-V78gmy8_Pg,REGULAR,1730,2230,False,1730,2230,False,1730,2230,False,1730,2230,False,1730,2300,False,1700,2300,False,1730,2200,False
lCMN0raxlHnBFDoLgkz4sw,REGULAR,0700,2100,False,0700,2100,False,0700,2100,False,0700,2100,False,0700,2100,False,0800,2100,False,0800,2100,False
1hWZ0K2DOKZB9Xft08VZ9g,REGULAR,1730,2200,False,1730,2200,False,1730,2200,False,1730,2200,False,1730,2300,False,1730,2300,False,1730,2200,False
poswq7BdLM9Iryd9palDVQ,REGULAR,1700,2100,False,1700,2100,False,1700,2100,False,1700,2230,False,1700,2230,False,1700,2230,False,1700,2100,False
T4nEmSQNeTKnNgcHpnvH0A,REGULAR,1700,2100,False,1700,2100,False,1700,2100,False,1700,2100,False,1700,2130,False,1600,2130,False,1600,2130,False
Q8g68ZDAt93h_n_wTbwshA,REGULAR,1600,2200,False,1600,2200,False,1600,2200,False,1600,2200,False,1600,0000,False,1600,0000,False,1600,2200,False
fEKzWC1sbfZSElp46FoNag,REGULAR,1730,2100,False,1730,2100,False,1730,2100,False,1730,2100,False,1730,2200,False,1730,2200,False,1730,2100,False
uYqizPy4eUSpwOha0RkVPg,REGULAR,,,,,,,1700,2100,False,1700,2100,False,1700,2200,False,1700,2200,False,1700,2100,False
nyy38msunExaObJOeH7j0Q,REGULAR,1600,2200,False,1600,2200,False,1600,2200,False,1600,0000,False,1600,0200,True,1100,0200,True,1100,2200,False
5NsdznaNSUmH2O0vuo65Pw,REGULAR,,,,1200,2100,False,1200,2100,False,1200,2100,False,1200,2100,False,1200,2100,False,1200,2100,False
55PGG2U1z-q7Z694F-B-_w,REGULAR,1600,2300,False,1600,2300,False,1600,2300,False,1600,2300,False,1600,0200,True,1200,0200,True,1200,2300,False
7B9dJn1uWTv9QPnFcDwaXw,REGULAR,,,,1600,2100,False,1600,2100,False,1600,2100,False,1600,2200,False,1130,2200,False,1130,2100,False
et8Pwzjy2vjRhETAgEZ1Lg,REGULAR,1130,2200,False,1130,2200,False,1130,2200,False,1130,2200,False,1130,2300,False,1130,2300,False,1130,2200,False
E2De90kZUtXIS2dy-vn1yg,REGULAR,1700,2130,False,1700,2130,False,1700,2130,False,1700,2130,False,1700,2200,False,1700,2230,False,1700,2130,False
